title,Genres,Sub_Genres
BRIGITTE Bücher - Der Literaturpodcast,Kunst,
"Feinschmeckertouren – Der Reise-, Food- und Genusspodcast mit Betina Fischer und  Burkhard Siebert",Kunst,
Architektur und die Welt,Kunst,
Suhrkamp espresso,Kunst,
VOGUE Stories,Kunst,
abgespielt,Kunst,
Happy Shooting - Der Foto-Podcast,Kunst,
"Nicht glauben, ausprobieren!",Kunst,
Fotografie Pur,Kunst,
KEIN Plan!? Podcast,Kunst,
"""A Tale of Two Cities"" Audiobook (Audio book)",Kunst,
Die Fotolinsen,Kunst,
hr2 Märchen und Verbrechen,Kunst,
#BEZPIECZNIK,Kunst,
Coffee and Cameras der Fotografie Podcast,Kunst,
Die drei ??? Podcast,Kunst,
Cocktailpodcast,Kunst,
Everything is Fine,Kunst,
hr2 Neue Bücher,Kunst,
Die Fotobuddys,Kunst,
Chai With Banafsheh/ چای با بنفشه,Kunst,
Literature and History,Kunst,
Buchkritik - Deutschlandfunk Kultur,Kunst,
Lesart - das Literaturmagazin (ganze Sendung) - Deutschlandfunk Kultur,Kunst,
Lauscherlounge | Hörspiel,Kunst,
A SHOT podcast,Kunst,
Harry Pottcast,Kunst,
Como Começar,Kunst,
NICE.TO.MEAT.YOU - Der Grillpodcast,Kunst,
WDR 2 Lesen,Kunst,
Lesedusche. Klassiker erfrischend anders,Kunst,
Kompressor - das Kulturmagazin (ganze Sendung) - Deutschlandfunk Kultur,Kunst,
Finja's Leben,Kunst,
Diwan - Das Büchermagazin,Kunst,
1LIVE Stories. Der Buch-Podcast,Kunst,
"Art, Work & Progress",Kunst,
Cobains Erben,Kunst,
Seite 37 – Der Literatur-Podcast,Kunst,
Opernsteckbrief,Kunst,
hr2 Hörspiel,Kunst,
Abenteuer Fotografie,Kunst,
Im Fokus,Kunst,
Long Story Short - Der Buch-Podcast mit Karla Paul und Günter Keil,Kunst,
Gepflegte Gespräche,Kunst,
Something Scary,Kunst,
David Tennant Does a Podcast With…,Kunst,
FETT & Rauchig,Kunst,
WDR 4 Bücher,Kunst,
کتاب باز با سروش صحت,Kunst,
Nachts im Buchladen,Kunst,
KrimiKiosk,Kunst,Bücher
52 beste Bücher,Kunst,Bücher
The Book Club Review,Kunst,Bücher
How To Proceed,Kunst,Bücher
Sentimental Garbage,Kunst,Bücher
Road to Tar Valon: A Wheel of Time Podcast,Kunst,Bücher
Write Now with Scrivener,Kunst,Bücher
十点读书官方播客,Kunst,Bücher
Hörspielplatz,Kunst,Bücher
Leopardenherz - Warrior Cats & Co.,Kunst,Bücher
Worm Audiobook,Kunst,Bücher
Tamil Audio Books,Kunst,Bücher
The Subtle Art Of Not Giving A F*ck,Kunst,Bücher
Fiction Writing Made Easy,Kunst,Bücher
Warrior Cats | Podcast aus dem FlussClan Lager,Kunst,Bücher
Women’s Prize for Fiction Podcast,Kunst,Bücher
Game of Thrones Abridged – Alt Schwift X,Kunst,Bücher
"Lesung - Klassiker, Philosophie, Gedichte Literatur von Goethe, Heine, Kant, Nietzsche, Lessing… Gel...",Kunst,Bücher
라디오 북클럽 김겨울입니다,Kunst,Bücher
ENGL216 - English Literature II,Kunst,Bücher
Deutsche Literatur,Kunst,Bücher
كتب صوتية بالعربية,Kunst,Bücher
Splittercast,Kunst,Bücher
Lesung,Kunst,Bücher
Neues vom Buchmarkt,Kunst,Bücher
Sea of Thieves: Athena’s Fortune,Kunst,Bücher
Radio Boghcheh | رادیو بقچه,Kunst,Bücher
Hörspiele und Lesungen bei MDR KULTUR,Kunst,Bücher
The Real Weird Sisters: A Harry Potter Podcast,Kunst,Bücher
Модель Для Сборки,Kunst,Bücher
每日心理学,Kunst,Bücher
FAZ Bücher-Podcast,Kunst,Bücher
Kalam Kotob - كلام كتب,Kunst,Bücher
WoodwalkCast,Kunst,Bücher
Rick Future - Die SciFi-Hörspielserie,Kunst,Bücher
Der kleine Hase namens Tiger,Kunst,Bücher
KulturGut: Der Dussmann Podcast.,Kunst,Bücher
Leipzigs neue Seiten,Kunst,Bücher
Literarische Gesellschaft Thüringen,Kunst,Bücher
Autor oder Autorin werden . . . ich möchte ein Buch schreiben!,Kunst,Bücher
My Marvelous Year,Kunst,Bücher
Pride and Prejudice,Kunst,Bücher
MuggleCast: the Harry Potter podcast,Kunst,Bücher
Die Vorleserin,Kunst,Bücher
Mein Senf zum Schreiben.,Kunst,Bücher
Bücher! Der Lübbe Audio-Podcast,Kunst,Bücher
NDR - das Niederdeutsche Hörspiel,Kunst,Bücher
Die Miskatonic-Universität - Wir lesen Lovecraft,Kunst,Bücher
Vom Schreiben leben Podcast,Kunst,Bücher
Hanjo Kestings Bibliothek: 50 Romane zum Wiederentdecken,Kunst,Bücher
Parseh Podcast,Kunst,Bücher
Seitensprung Bücherpodcast,Kunst,Bücher
Toute une vie,Kunst,Bücher
Frank Skinner's Poetry Podcast,Kunst,Bücher
Die Verlags-WG,Kunst,Bücher
FAZ Essay – der Podcast für die Geschichte hinter den Nachrichten,Kunst,Bücher
Hörmeisterei,Kunst,Bücher
Gryffindor,Kunst,Bücher
The New Yorker: The Writer's Voice - New Fiction from The New Yorker,Kunst,Bücher
كتب صوتية,Kunst,Bücher
WDR 3 Buchkritik,Kunst,Bücher
Märchen aus aller Welt | Video Podcast | Deutsche Welle,Kunst,Bücher
Hoerspielprojekt.de - Hörspiele aus allen Genres,Kunst,Bücher
Kanal Schnellroda,Kunst,Bücher
Otherppl with Brad Listi,Kunst,Bücher
Three Percent Podcast,Kunst,Bücher
Arji's Poetry Pickle Jar,Kunst,Bücher
The History of Literature,Kunst,Bücher
Ich schreib dann mal ein Buch!,Kunst,Bücher
Fresh Air,Kunst,Bücher
How To Fail With Elizabeth Day,Kunst,Bücher
The Adventures of Sherlock Holmes by Sir Arthur Conan Doyle,Kunst,Bücher
"literaturcafe.de - Bücher, Autoren, Schreiben und Lesen",Kunst,Bücher
Mathias schreibt Krimis,Kunst,Bücher
Die Känguru Apokryphen,Kunst,Bücher
Hörspiel | rbbKultur,Kunst,Bücher
Kapitel Eins,Kunst,Bücher
Book King - Der goldene Weg zum eigenen Buch,Kunst,Bücher
Bücher & Sonntage,Kunst,Bücher
"The Writer Files: Writing, Productivity, Creativity, and Neuroscience",Kunst,Bücher
The Baby-Sitters Club Club,Kunst,Bücher
hr2 Hörbuch Zeit,Kunst,Bücher
MDR KULTUR Café,Kunst,Bücher
Misshelved: a podcast for book lovers,Kunst,Bücher
Heimat lesen,Kunst,Bücher
Auf Buchfühlung,Kunst,Bücher
Культовые книги с Евгением Кайдаловым и Игорем Поповым,Kunst,Bücher
Harry Podcast,Kunst,Bücher
The Book Review,Kunst,Bücher
跑火车电台,Kunst,Bücher
Wer soll das alles lesen?,Kunst,Bücher
Schön deutsch - Der Podcast,Kunst,Bücher
Books Unbound,Kunst,Bücher
"Strange Case of Dr. Jekyll and Mr. Hyde, The by Robert Louis Stevenson (1850 - 1894)",Kunst,Bücher
Write Now with Sarah Werner,Kunst,Bücher
Über Psychoanalyse by Sigmund Freud (1856 - 1939),Kunst,Bücher
Papierstau Podcast,Kunst,Bücher
The Lubber's Hole - A Patrick O'Brian Podcast,Kunst,Bücher
DER COMICtalk,Kunst,Bücher
WDR 3 Lesung,Kunst,Bücher
Büchercheck Podcast,Kunst,Bücher
小说《情书》 作者：岩井俊二 朗读：小岛,Kunst,Bücher
sage und schreibe,Kunst,Bücher
Ein Beutel Bücher - Der Buchclub-Podcast,Kunst,Bücher
Rad Fem Audios,Kunst,Bücher
Irgendwas & Bücher,Kunst,Bücher
Horror Tales,Kunst,Bücher
Sigma 2 Foxtrot,Kunst,Bücher
For Real,Kunst,Bücher
قطوف ورقيه,Kunst,Bücher
Reading Ferdowsi فردوسی خوانی,Kunst,Bücher
Mysteriumsabteilung - der Podcast für Harry Potter Fans,Kunst,Bücher
The New Yorker: Poetry,Kunst,Bücher
Frauen schreiben auch.,Kunst,Bücher
Hogwarts Library - Harry Potter Fanfictions,Kunst,Bücher
Der Vorleser,Kunst,Bücher
Von rechts gelesen,Kunst,Bücher
Wizard Studies: Perusing All Things Potter Podcast,Kunst,Bücher
DuMont auf Sendung – Der Podcast mit Büchern,Kunst,Bücher
Pride and Prejudice by Jane Austen,Kunst,Bücher
坏蛋调频,Kunst,Bücher
Life and Books and Everything,Kunst,Bücher
50 shades of Grey- Well Read Yet Ill Fed,Kunst,Bücher
Nachtstudio,Kunst,Bücher
Hogwarts Radio,Kunst,Bücher
Geheimnisse der Vergangenheit [Original Hörbuch],Kunst,Bücher
Чтение,Kunst,Bücher
Paul Temple und der Fall Conrad - Das Krimihörspiel,Kunst,Bücher
ComicInvasion,Kunst,Bücher
Hörstoff-Hamburg - Podcast der Hamburger Buchhandlungen,Kunst,Bücher
Lesungen,Kunst,Bücher
BÜCHER FEIERN - Der Podcast,Kunst,Bücher
On the Road with Penguin Classics,Kunst,Bücher
The Hate U Give Book Talk,Kunst,Bücher
Wrobel - Der Tucholsky-Podcast,Kunst,Bücher
The Kenyon Review Podcast,Kunst,Bücher
Space-Biff! Space-Cast!,Kunst,Bücher
Fikirperest Dergi,Kunst,Bücher
Desert Island Discworld,Kunst,Bücher
Radio Hich  رادیو هیچ,Kunst,Bücher
hr2 Krimi mit Mimi,Kunst,Bücher
Die Schule Der Magischen Tiere (podcast),Kunst,Bücher
Die Odyssee des Homer - Das Hörspiel,Kunst,Bücher
Percy Jackson and the Olympians,Kunst,Bücher
AnimoxCast,Kunst,Bücher
Co się nawinie,Kunst,Bücher
Best Comics Ever,Kunst,Bücher
Seite an Seite - Der Podcast von Hugendubel,Kunst,Bücher
Myths and Legends,Kunst,Bücher
La Compagnie des oeuvres,Kunst,Bücher
Hörspiel Pool,Kunst,Bücher
Revolusi met David Van Reybrouck,Kunst,Bücher
Privatlesung,Kunst,Bücher
Die Literaturagenten | radioeins,Kunst,Bücher
The Penguin Podcast,Kunst,Bücher
blauschwarzberlin: Letzte Lektüren - Podcast,Kunst,Bücher
The New Yorker: Fiction,Kunst,Bücher
Literaturclub,Kunst,Bücher
KaBeBücherCast,Kunst,Bücher
ResumoCast | Livros para Empreendedores,Kunst,Bücher
What Should I Read Next?,Kunst,Bücher
Land in Sicht. Bücher zum Leben,Kunst,Bücher
eat.READ.sleep. Bücher für dich,Kunst,Bücher
Un Libro Una Hora,Kunst,Bücher
NDR Kultur - Neue Bücher,Kunst,Bücher
Broccoli Book Club,Kunst,Bücher
ARD Radio Tatort,Kunst,Bücher
Public Books 101,Kunst,Bücher
The LRB Podcast,Kunst,Bücher
Der Jakobsweg,Kunst,Bücher
250 Years of English Literature,Kunst,Bücher
Feiste Bücher,Kunst,Bücher
Suhrkamp DISKURS,Kunst,Bücher
Dies und Das,Kunst,Bücher
Bookadventure: Abenteuer im Autorenleben,Kunst,Bücher
Theorien der Literatur,Kunst,Bücher
The Nerd of the Rings,Kunst,Bücher
Nightmare Talks,Kunst,Bücher
English 201: Survey of English Literature I,Kunst,Bücher
Story Grid Podcast,Kunst,Bücher
Deutschland3000 - 'ne gute Stunde mit Eva Schulz,Kunst,Bücher
RARE BOOKS CARE LOOKS,Kunst,Bücher
hr2 Die Märchen der Brüder Grimm,Kunst,Bücher
Pod and Prejudice,Kunst,Bücher
The Gayly Prophet | A Harry Potter Podcast,Kunst,Bücher
Deutschland3000 - 'ne gute Stunde mit Eva Schulz,Kunst,Bücher
Tollkühn - Ein Mittelerde Podcast,Kunst,Bücher
聽書入睡 Listening to fall asleep,Kunst,Bücher
"Ann Kroeker, Writing Coach",Kunst,Bücher
BRIGITTE Bücher - Der Literaturpodcast,Kunst,Bücher
Between The Stacks,Kunst,Bücher
Suhrkamp espresso,Kunst,Bücher
The Stacks,Kunst,Bücher
"""A Tale of Two Cities"" Audiobook (Audio book)",Kunst,Bücher
Krimi-Podcast » Krimi-Podcast,Kunst,Bücher
كتب و روايات,Kunst,Bücher
hr2 Märchen und Verbrechen,Kunst,Bücher
香港電台：一分鐘閱讀,Kunst,Bücher
کتاب صوتی  - Ketab soti,Kunst,Bücher
Comic Review,Kunst,Bücher
چله‌ی داستان,Kunst,Bücher
Die drei ??? Podcast,Kunst,Bücher
Leipzig liest,Kunst,Bücher
hr2 Neue Bücher,Kunst,Bücher
قصص مسموعة- وئام حمزة,Kunst,Bücher
Planlos durch Mittelerde,Kunst,Bücher
Альманах фантастики,Kunst,Bücher
"IM GESPRÄCH - Verleger, Autoren und Freunde des Westend Verlags im Podcast",Kunst,Bücher
Literature and History,Kunst,Bücher
Lauscherlounge | Hörspiel,Kunst,Bücher
Harry Pottcast,Kunst,Bücher
The Paris Review,Kunst,Bücher
WDR 2 Lesen,Kunst,Bücher
Lesedusche. Klassiker erfrischend anders,Kunst,Bücher
Finja's Leben,Kunst,Bücher
Diwan - Das Büchermagazin,Kunst,Bücher
1LIVE Stories. Der Buch-Podcast,Kunst,Bücher
文化土豆 Culture Potato,Kunst,Bücher
Agile Leseecke,Kunst,Bücher
I Should Be Writing,Kunst,Bücher
Writing Excuses,Kunst,Bücher
Seite 37 – Der Literatur-Podcast,Kunst,Bücher
hr2 Hörspiel,Kunst,Bücher
سو پادکست,Kunst,Bücher
Long Story Short - Der Buch-Podcast mit Karla Paul und Günter Keil,Kunst,Bücher
Fotobuch-Ecke - Der Fotobuch-Podcast,Kunst,Bücher
Prinzenbuch,Kunst,Bücher
Yiddish Tales (יידיש מעשה) by Various,Kunst,Bücher
قصص مسموعة,Kunst,Bücher
"Мам, почитай!",Kunst,Bücher
Something Scary,Kunst,Bücher
Prōfectus,Kunst,Bücher
Antenne Wetterspitze,Kunst,Bücher
WDR 4 Bücher,Kunst,Bücher
کتاب باز با سروش صحت,Kunst,Bücher
#Ausgelesen,Kunst,Bücher
Nachts im Buchladen,Kunst,Bücher
Der ewige Spießer - Das Hörspiel,Kunst,Bücher
podcast – The Methods of Rationality Podcast,Kunst,Bücher
"ROOF Music / tacheles! - Hörbuch, Kabarett & Musik aus Bochum",Kunst,Bücher
Alternative Design Podcast,Kunst,Design
"Schnappauf & Walch - Zwei Händler über Kunst, Antik, Design und Vintage Interior",Kunst,Design
The Art of Costume,Kunst,Design
Creative Pep Talk,Kunst,Design
The Grand Tourist with Dan Rubinstein,Kunst,Design
Fashionista,Kunst,Design
UX'minimal,Kunst,Design
DERİN BİR UYKU İÇİN MEDİTASYON,Kunst,Design
异能FM X 全球设计故事,Kunst,Design
Home Truths,Kunst,Design
Design Review,Kunst,Design
waste.design.shop.,Kunst,Design
Presentable,Kunst,Design
Honest UX Talks,Kunst,Design
Making It: In Design,Kunst,Design
The Collector’s House,Kunst,Design
Sumo,Kunst,Design
Letter Now! with Martina Flor,Kunst,Design
The Reflex Blue Show : A Graphic Design Podcast,Kunst,Design
The Landscape Architecture Podcast,Kunst,Design
Botanical Brouhaha Podcast,Kunst,Design
Designalyze Podcast,Kunst,Design
The Handsome Frank Illustration Podcast,Kunst,Design
OHNE DEN HYPE – Interviews mit Kreativen,Kunst,Design
TALK SLOW - Der Fair Fashion Podcast,Kunst,Design
Spezial Material-Der Podcast,Kunst,Design
EntreArchitect Podcast with Mark R. LePage,Kunst,Design
The UX Kitchen Podcast,Kunst,Design
Scaffold,Kunst,Design
House Guest by Country & Town House | Interior Designer Interviews,Kunst,Design
Educated Guess: A Virtual Art School,Kunst,Design
Elvis Presley,Kunst,Design
The Great Indoors,Kunst,Design
US Modernist Radio - Architecture You Love,Kunst,Design
Register - Architecture & Landscape,Kunst,Design
Jayant,Kunst,Design
The Game Design Dojo Podcast,Kunst,Design
A Change of Brand,Kunst,Design
World Architecture Festival Podcast,Kunst,Design
The Crazy One,Kunst,Design
form Design Podcast,Kunst,Design
loredana,Kunst,Design
Layer Podcast,Kunst,Design
JUST Branding,Kunst,Design
Caffè Design,Kunst,Design
Jake and Jonathan,Kunst,Design
TAKRAM RADIO,Kunst,Design
Whiteboard.fm,Kunst,Design
The Honest Designers Show,Kunst,Design
소설 속 역사,Kunst,Design
Crown Unfiltered - Car Design Podcast,Kunst,Design
Design Truth,Kunst,Design
formfunk,Kunst,Design
gestaltungsgelaber,Kunst,Design
Windowsill Chats,Kunst,Design
Keine schönen Dinge – Design Podcast,Kunst,Design
"HELLO HOLLY – the podcast about interior, trends and friends",Kunst,Design
The Jewellers Podcast,Kunst,Design
"KeineZeit der LuxusUhren Podcast mit Rolex, Audemars Piguet und Patek Philippe",Kunst,Design
Designdrives,Kunst,Design
Real Simple Tips,Kunst,Design
The Designers' Inner Circle,Kunst,Design
Overtime,Kunst,Design
The Infinite Now,Kunst,Design
Design Time,Kunst,Design
FZD Design Cinema Podcast,Kunst,Design
Bild und Ton - der Podcast für Content Creator,Kunst,Design
Design and Shine,Kunst,Design
That's Awesome ID!,Kunst,Design
Future of the American City,Kunst,Design
a better life,Kunst,Design
My Life In Letters,Kunst,Design
Twenty Thousand Hertz,Kunst,Design
The Systm Podcast,Kunst,Design
F_PODCAST intersectional spaces in practice,Kunst,Design
The Style Files: Conversations with Creatives,Kunst,Design
New Layer,Kunst,Design
Creative Characters,Kunst,Design
Design and Innovation Podcast,Kunst,Design
JB,Kunst,Design
WhatsApp,Kunst,Design
The UX Intern,Kunst,Design
The Game Design Round Table,Kunst,Design
建築+ Arch Plus Podcast,Kunst,Design
On Margins,Kunst,Design
Architektur als vermutete Zukunft,Kunst,Design
Architektur Basel Podcast,Kunst,Design
UX Café,Kunst,Design
Design Better Podcast,Kunst,Design
UI Narrative: UI/UX Design and Product Strategy,Kunst,Design
The DGDC - Deeply Graphic Designcast,Kunst,Design
"He Shoots, He Draws Podcast",Kunst,Design
UNICEF,Kunst,Design
Inredningspodden med Johanna Hulander,Kunst,Design
The Weekly Typographic,Kunst,Design
This is HCD - Human Centered Design Podcast,Kunst,Design
Talking Practice,Kunst,Design
"Sit, Talk, Design.",Kunst,Design
Freelance Designer Podcast – Erfolg in der Selbstständigkeit als Designer & Grafiker,Kunst,Design
Noseee,Kunst,Design
DesignerUp Podcast,Kunst,Design
Jingle Galaxy Radio,Kunst,Design
SXSW Sessions,Kunst,Design
ELISE GETS CRAFTY,Kunst,Design
Illustration Hour,Kunst,Design
The Friendly Unknown,Kunst,Design
Understanding Design,Kunst,Design
What is UX?,Kunst,Design
Dear Alice | Interior Design,Kunst,Design
MorgenDAC LIVE,Kunst,Design
Young House Love Has A Podcast,Kunst,Design
Monocle 24: Monocle on Design,Kunst,Design
Face to Face by Dezeen,Kunst,Design
GB Talks,Kunst,Design
Pixelish — with Wolfgang Bremer,Kunst,Design
Design  Loop,Kunst,Design
QUOTE - UX Research,Kunst,Design
Passive Income for Designers,Kunst,Design
School of Motion Podcast,Kunst,Design
Übern Tellerrand...,Kunst,Design
Plein Air Art Podcast,Kunst,Design
BEIGEsprochen – Der erste Design-Podcast in Zusammenarbeit mit Made.com,Kunst,Design
Spiced Chaos,Kunst,Design
BAJ Podcast,Kunst,Design
Five Minute Feng Shui,Kunst,Design
Quilt Buzz,Kunst,Design
The Interior Design Business,Kunst,Design
NeoConversations,Kunst,Design
DesignOps Island Discs,Kunst,Design
Perspective Podcast | Fuel for Your Mind & Creative Grind,Kunst,Design
"DDCAST - Was ist gut? Design, Kommunikation, Architektur",Kunst,Design
The AD Aesthete,Kunst,Design
Make Do,Kunst,Design
Clever,Kunst,Design
MinDesign,Kunst,Design
WohnDICH - Lebensraum-Gestaltung mit allen Sinnen - Regine Rauin,Kunst,Design
The Young Architect Podcast,Kunst,Design
JewelryMonk Podcast,Kunst,Design
Off Air: The Juicy Designer Podcast,Kunst,Design
Knight Kraft,Kunst,Design
Catching the Next Wave,Kunst,Design
Arquicast,Kunst,Design
UX Team of One (Arabic) Podcast - Os3li,Kunst,Design
Material Matters with Grant Gibson,Kunst,Design
Heroine,Kunst,Design
The Creative Voyage Podcast,Kunst,Design
